Education,Experience,Location,Job_Title,Age,Gender,Salary
High School,8,Urban,Manager,63,Male,84620.05366
PhD,11,Suburban,Director,59,Male,142591.2559
Bachelor,28,Suburban,Manager,61,Female,97800.2554
High School,29,Rural,Director,45,Male,96834.67128
PhD,25,Urban,Analyst,26,Female,132157.7862
PhD,19,Rural,Director,27,Female,156312.9362
PhD,4,Rural,Director,60,Female,130567.6495
PhD,13,Suburban,Director,49,Female,148707.7408
Bachelor,20,Urban,Engineer,25,Female,95945.27543
PhD,14,Urban,Analyst,58,Female,133339.3897
Bachelor,23,Rural,Manager,23,Female,101164.0924
Master,1,Urban,Director,27,Female,124251.9871
High School,11,Urban,Manager,63,Male,55066.11435
PhD,4,Rural,Manager,43,Male,124972.5088
Master,7,Suburban,Director,44,Female,126139.1367
High School,28,Suburban,Engineer,49,Male,81007.19945
High School,4,Suburban,Analyst,37,Male,60693.92471
High School,26,Rural,Director,63,Male,103386.0703
Master,7,Urban,Director,53,Female,140042.1389
Bachelor,20,Rural,Analyst,34,Male,86048.11608
Master,3,Rural,Engineer,62,Female,73861.99295
PhD,19,Suburban,Analyst,62,Male,106145.0055
PhD,19,Urban,Director,36,Female,142981.5905
Master,7,Suburban,Analyst,21,Female,96620.92939
High School,21,Urban,Manager,62,Female,89426.94712
Bachelor,12,Urban,Manager,20,Male,104762.3985
Bachelor,23,Suburban,Manager,35,Female,101747.5408
Bachelor,1,Suburban,Engineer,36,Male,68635.08828
Bachelor,5,Rural,Manager,28,Male,90550.47942
High School,14,Urban,Analyst,61,Female,75559.24411
Bachelor,10,Urban,Engineer,40,Female,87433.49865
High School,3,Urban,Analyst,63,Female,57615.23342
PhD,2,Urban,Engineer,45,Male,126043.1434
High School,13,Urban,Analyst,20,Male,73043.43575
PhD,16,Rural,Director,59,Male,134560.193
Bachelor,23,Urban,Engineer,22,Female,95804.26144
Master,2,Rural,Director,26,Female,99694.53954
PhD,24,Suburban,Director,23,Female,153930.9339
PhD,13,Rural,Director,50,Male,151123.3359
High School,6,Rural,Director,33,Female,81462.71867
Master,7,Rural,Director,40,Male,106019.0204
PhD,2,Suburban,Director,31,Female,142122.6673
High School,11,Urban,Analyst,31,Male,66858.43105
Bachelor,7,Rural,Manager,25,Female,82060.73293
PhD,7,Suburban,Engineer,36,Female,107935.4034
Bachelor,7,Rural,Analyst,33,Male,70251.76628
PhD,7,Rural,Analyst,28,Female,118799.4401
PhD,12,Suburban,Analyst,47,Female,100369.0235
Master,19,Rural,Analyst,26,Male,100038.768
